review,sentiment
A complete disaster. Bad acting and terrible direction.,0
This movie was boring and predictable. Not worth watching.,0
I hated it. Complete waste of time and money.,0
This movie is a true work of art. Visually stunning and emotionally powerful.,1
Poor script and mediocre performances throughout.,0
Incredible movie with amazing special effects and great plot.,1
One of the worst films I've ever seen. Disappointing.,0
Superb acting and a compelling narrative. One of the best films I've seen.,1
Awful movie with bad direction and weak storyline.,0
I loved every minute of it. Brilliant cinematography and direction.,1
I hated it. Complete waste of time and money.,0
This film is a must-watch. Incredible story and excellent execution.,1
A delightful movie that kept me entertained from start to finish.,1
This movie was painful to watch. Poor quality all around.,0
"A perfect blend of action, drama, and comedy. Highly entertaining.",1
I loved every minute of it. Brilliant cinematography and direction.,1
This film exceeded all my expectations. Simply wonderful!,1
This movie was painful to watch. Poor quality all around.,0
Terrible acting and a confusing plot that made no sense.,0
One of the worst films I've ever seen. Disappointing.,0
Terrible acting and a confusing plot that made no sense.,0
Terrible acting and a confusing plot that made no sense.,0
A waste of time. Bad script and poor character development.,0
This film was a huge disappointment. Poorly executed.,0
One of the worst films I've ever seen. Disappointing.,0
Terrible acting and a confusing plot that made no sense.,0
Excellent storytelling and character development throughout.,1
One of the worst films I've ever seen. Disappointing.,0
This film is a must-watch. Incredible story and excellent execution.,1
A masterpiece of modern cinema. Beautifully crafted and engaging.,1
This movie was absolutely fantastic! Great acting and storyline.,1
A delightful movie that kept me entertained from start to finish.,1
This film was a huge disappointment. Poorly executed.,0
The plot was engaging and the characters were well-developed.,1
Poor script and mediocre performances throughout.,0
"A perfect blend of action, drama, and comedy. Highly entertaining.",1
A masterpiece of modern cinema. Beautifully crafted and engaging.,1
Terrible acting and a confusing plot that made no sense.,0
Disappointing film with weak storyline and bad acting.,0
The plot was engaging and the characters were well-developed.,1
A masterpiece of modern cinema. Beautifully crafted and engaging.,1
The worst movie I've seen this year. Completely boring.,0
The worst movie I've seen this year. Completely boring.,0
I hated it. Complete waste of time and money.,0
A waste of time. Bad script and poor character development.,0
This movie was absolutely fantastic! Great acting and storyline.,1
Amazing soundtrack and beautiful cinematography. Loved it!,1
This movie was terrible. Poor acting and boring plot.,0
Outstanding performance by the lead actor. Highly recommended!,1
This film is a must-watch. Incredible story and excellent execution.,1
This movie was terrible. Poor acting and boring plot.,0
This movie was painful to watch. Poor quality all around.,0
"A perfect blend of action, drama, and comedy. Highly entertaining.",1
Awful movie with no redeeming qualities whatsoever.,0
"A perfect blend of action, drama, and comedy. Highly entertaining.",1
"A perfect blend of action, drama, and comedy. Highly entertaining.",1
Disappointing film with weak storyline and bad acting.,0
Incredible movie with amazing special effects and great plot.,1
A complete disaster. Bad acting and terrible direction.,0
Awful movie with bad direction and weak storyline.,0
Terrible acting and a confusing plot that made no sense.,0
Brilliant direction and outstanding performances by the entire cast.,1
Awful movie with no redeeming qualities whatsoever.,0
Superb acting and a compelling narrative. One of the best films I've seen.,1
A complete disaster. Bad acting and terrible direction.,0
Awful movie with no redeeming qualities whatsoever.,0
This movie was terrible. Poor acting and boring plot.,0
This movie was painful to watch. Poor quality all around.,0
I hated it. Complete waste of time and money.,0
Terrible acting and a confusing plot that made no sense.,0
Awful movie with bad direction and weak storyline.,0
This movie was absolutely fantastic! Great acting and storyline.,1
Superb acting and a compelling narrative. One of the best films I've seen.,1
Awful movie with no redeeming qualities whatsoever.,0
This movie was boring and predictable. Not worth watching.,0
A complete disaster. Bad acting and terrible direction.,0
Poor script and mediocre performances throughout.,0
Awful movie with no redeeming qualities whatsoever.,0
This movie was terrible. Poor acting and boring plot.,0
Terrible plot and unconvincing performances by the actors.,0
Excellent storytelling and character development throughout.,1
A waste of time. Bad script and poor character development.,0
This movie was absolutely fantastic! Great acting and storyline.,1
This film was a huge disappointment. Poorly executed.,0
Terrible acting and a confusing plot that made no sense.,0
Outstanding performance by the lead actor. Highly recommended!,1
This film exceeded all my expectations. Simply wonderful!,1
This movie was boring and predictable. Not worth watching.,0
This film is a must-watch. Incredible story and excellent execution.,1
A masterpiece of modern cinema. Beautifully crafted and engaging.,1
This film exceeded all my expectations. Simply wonderful!,1
Awful movie with bad direction and weak storyline.,0
This movie was absolutely fantastic! Great acting and storyline.,1
Incredible movie with amazing special effects and great plot.,1
Incredible movie with amazing special effects and great plot.,1
A waste of time. Bad script and poor character development.,0
The worst movie I've seen this year. Completely boring.,0
I loved every minute of it. Brilliant cinematography and direction.,1
This movie was boring and predictable. Not worth watching.,0
Excellent storytelling and character development throughout.,1
This movie was terrible. Poor acting and boring plot.,0
This film is a must-watch. Incredible story and excellent execution.,1
Poor script and mediocre performances throughout.,0
This film is a must-watch. Incredible story and excellent execution.,1
This film is a must-watch. Incredible story and excellent execution.,1
Awful movie with no redeeming qualities whatsoever.,0
Brilliant direction and outstanding performances by the entire cast.,1
Excellent storytelling and character development throughout.,1
Awful movie with bad direction and weak storyline.,0
This movie was painful to watch. Poor quality all around.,0
"A perfect blend of action, drama, and comedy. Highly entertaining.",1
Excellent storytelling and character development throughout.,1
This movie was absolutely fantastic! Great acting and storyline.,1
This film is a must-watch. Incredible story and excellent execution.,1
The worst movie I've seen this year. Completely boring.,0
A masterpiece of modern cinema. Beautifully crafted and engaging.,1
Terrible acting and a confusing plot that made no sense.,0
Superb acting and a compelling narrative. One of the best films I've seen.,1
The plot was engaging and the characters were well-developed.,1
A complete disaster. Bad acting and terrible direction.,0
Outstanding performance by the lead actor. Highly recommended!,1
Superb acting and a compelling narrative. One of the best films I've seen.,1
Brilliant direction and outstanding performances by the entire cast.,1
Terrible plot and unconvincing performances by the actors.,0
A waste of time. Bad script and poor character development.,0
Terrible plot and unconvincing performances by the actors.,0
"A perfect blend of action, drama, and comedy. Highly entertaining.",1
This movie was absolutely fantastic! Great acting and storyline.,1
Terrible plot and unconvincing performances by the actors.,0
A masterpiece of modern cinema. Beautifully crafted and engaging.,1
Poor script and mediocre performances throughout.,0
Terrible acting and a confusing plot that made no sense.,0
A delightful movie that kept me entertained from start to finish.,1
Awful movie with bad direction and weak storyline.,0
Brilliant direction and outstanding performances by the entire cast.,1
Excellent storytelling and character development throughout.,1
Disappointing film with weak storyline and bad acting.,0
Incredible movie with amazing special effects and great plot.,1
I hated it. Complete waste of time and money.,0
Poor script and mediocre performances throughout.,0
This movie was boring and predictable. Not worth watching.,0
This movie was absolutely fantastic! Great acting and storyline.,1
Incredible movie with amazing special effects and great plot.,1
This movie was painful to watch. Poor quality all around.,0
Brilliant direction and outstanding performances by the entire cast.,1
The worst movie I've seen this year. Completely boring.,0
This movie was boring and predictable. Not worth watching.,0
Poor script and mediocre performances throughout.,0
This film was a huge disappointment. Poorly executed.,0
Poor script and mediocre performances throughout.,0
A waste of time. Bad script and poor character development.,0
This film exceeded all my expectations. Simply wonderful!,1
This film exceeded all my expectations. Simply wonderful!,1
This film was a huge disappointment. Poorly executed.,0
Amazing soundtrack and beautiful cinematography. Loved it!,1
The worst movie I've seen this year. Completely boring.,0
Disappointing film with weak storyline and bad acting.,0
Awful movie with bad direction and weak storyline.,0
One of the worst films I've ever seen. Disappointing.,0
The worst movie I've seen this year. Completely boring.,0
This movie was absolutely fantastic! Great acting and storyline.,1
I hated it. Complete waste of time and money.,0
"A perfect blend of action, drama, and comedy. Highly entertaining.",1
The worst movie I've seen this year. Completely boring.,0
Incredible movie with amazing special effects and great plot.,1
This movie was boring and predictable. Not worth watching.,0
A masterpiece of modern cinema. Beautifully crafted and engaging.,1
Excellent storytelling and character development throughout.,1
Amazing soundtrack and beautiful cinematography. Loved it!,1
A masterpiece of modern cinema. Beautifully crafted and engaging.,1
This film was a huge disappointment. Poorly executed.,0
Amazing soundtrack and beautiful cinematography. Loved it!,1
One of the worst films I've ever seen. Disappointing.,0
